"MUNID","CODEID","TYPE","ROUTE_VERT","DIREC_UNIQ","STATUT","REVETEMENT","PROPRIO","LARGEUR","LONGUEUR","ENTITEID","GEOM"
"81017","21","Piste multifonctionnelle","Non","Non","T.Q.C","Flexible","Ville","0","492.3","{20685336-D83B-4180-8F62-B69BC0FFB80C}","LINESTRING (-75.688848 45.492274,-75.688442 45.492297,-75.688109 45.492315,-75.687808 45.492326,-75.687488 45.492339,-75.687069 45.492371,-75.6861 45.492438,-75.685692 45.492469,-75.685296 45.492493,-75.684801 45.492527,-75.684185 45.492567,-75.683746 45.492597,-75.683338 45.492625,-75.682951 45.492648,-75.682575 45.492679)"
"81017","22","Sentier de randonnée","Non","Non","T.Q.C","Flexible","CCN","0","254.3","{028A49A0-94C8-4185-8173-5CD917CAEB08}","LINESTRING (-75.699775 45.453249,-75.699634 45.453231,-75.699437 45.45317,-75.699249 45.453073,-75.699057 45.452978,-75.698853 45.452886,-75.698717 45.452794,-75.698578 45.452682,-75.698466 45.452577,-75.698371 45.452448,-75.6983 45.452368,-75.698281 45.452277,-75.698238 45.452184,-75.698183 45.452118,-75.698078 45.452075,-75.697918 45.452037,-75.69781 45.451993,-75.69769 45.451916,-75.697627 45.451813,-75.697636 45.451714)"
"81017","23","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","129.0","{D4B7D3CA-A4BF-4EE8-952B-F64135CA1B57}","LINESTRING (-75.70827 45.438885,-75.708254 45.438895,-75.708237 45.438903,-75.708217 45.43891,-75.708197 45.438913,-75.708175 45.438915,-75.708154 45.438914,-75.708075 45.438901,-75.707998 45.438884,-75.707898 45.438853,-75.707806 45.438817,-75.707702 45.43877,-75.707595 45.438709,-75.707516 45.438657,-75.707444 45.438602,-75.707398 45.438554,-75.707344 45.438483,-75.707293 45.438415,-75.707238 45.438351,-75.707177 45.438299,-75.707128 45.438259,-75.707073 45.438212)"
"81017","24","Piste multifonctionnelle","Non","Non","T.Q.C","Flexible","Ville","0","653.0","{4FB08C7D-858B-473C-810F-0879647BA2D6}","LINESTRING (-75.761926 45.471883,-75.761924 45.471885,-75.76192 45.471893,-75.761918 45.471895,-75.761916 45.471897,-75.761913 45.4719,-75.761909 45.471902,-75.761905 45.471904,-75.7619 45.471906,-75.761895 45.471906,-75.76189 45.471907,-75.761885 45.471906,-75.76188 45.471905,-75.761862 45.471901,-75.761847 45.471897,-75.761841 45.471895,-75.761836 45.471894,-75.761801 45.471887,-75.761667 45.471868,-75.761417 45.471831,-75.761274 45.471811,-75.761024 45.471778,-75.76069 45.471736,-75.760455 45.471708,-75.760249 45.471681,-75.76015 45.471692,-75.76 45.471687,-75.75939 45.471666,-75.758142 45.471624,-75.756962 45.471583,-75.75523 45.471517,-75.754692 45.471496,-75.753634 45.471451)"
"81017","25","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","14.2","{7C6673B0-DA87-4C16-BB52-0B20229E595F}","LINESTRING (-75.718251 45.434383,-75.718287 45.434378,-75.718321 45.434369,-75.718353 45.434356,-75.718381 45.43434,-75.718405 45.434321)"
"81017","26","Bande cyclable","Non","Oui","T.Q.C","Flexible","Ville","1.5","1025.5","{6A97994A-810F-4203-AE6F-19CB1D9F658C}","LINESTRING (-75.734418 45.460117,-75.73415 45.459609,-75.733996 45.459386,-75.733755 45.459072,-75.733653 45.458927,-75.733544 45.458748,-75.73344 45.45856,-75.73333 45.45831,-75.733116 45.45782,-75.732811 45.457082,-75.732523 45.456377,-75.732449 45.456203,-75.732391 45.456094,-75.732315 45.455978,-75.732228 45.455877,-75.732121 45.455774,-75.731995 45.455673,-75.731829 45.455566,-75.73168 45.455485,-75.731488 45.455406,-75.731305 45.455339,-75.731113 45.455267,-75.730928 45.455193,-75.730743 45.455102,-75.73059 45.455007,-75.730445 45.454896,-75.73033 45.454778,-75.730223 45.454656,-75.730143 45.454538,-75.730055 45.454374,-75.730002 45.454217,-75.729965 45.454083,-75.729768 45.453261,-75.729581 45.452502,-75.729425 45.451914)"
"81017","27","Piste multifonctionnelle","Oui","Non","T.Q.C","Flexible","Ville","0","585.4","{7FF6165F-A142-4828-B141-6B4097C41F8F}","LINESTRING (-75.653773 45.48344,-75.653701 45.483422,-75.653649 45.483426,-75.653586 45.483438,-75.653397 45.483452,-75.652869 45.483492,-75.652311 45.483522,-75.652114 45.483542,-75.651983 45.483557,-75.651901 45.483557,-75.651725 45.483539,-75.651359 45.483501,-75.651238 45.483471,-75.651165 45.483429,-75.651103 45.483372,-75.651093 45.483314,-75.651048 45.482871,-75.650955 45.482088,-75.650857 45.481268,-75.650774 45.480579,-75.650738 45.480249,-75.650722 45.480122,-75.650718 45.480094,-75.650701 45.480076,-75.650682 45.48007)"
"81017","28","Bande cyclable","Non","Oui","T.Q.C","Flexible","Ville","0","981.5","{EE47C967-8D76-4212-BF49-8F8B185422BB}","LINESTRING (-75.767427 45.460727,-75.767255 45.46076,-75.767091 45.460774,-75.766176 45.460834,-75.764904 45.460923,-75.763702 45.461008,-75.762208 45.461112,-75.761191 45.461187,-75.759834 45.461284,-75.758685 45.461363,-75.75736 45.461459,-75.755786 45.461562,-75.754944 45.461623)"
"81017","29","Sentier polyvalent","Non","Non","T.Q.C","Flexible","Ville","0","188.7","{6C9DACB2-E8F3-45F3-B62D-4F5774D62970}","LINESTRING (-75.736041 45.496502,-75.736036 45.496436,-75.736031 45.496376,-75.736006 45.496319,-75.735972 45.496259,-75.735896 45.496167,-75.735786 45.496054,-75.735671 45.495941,-75.735605 45.495907,-75.735532 45.495897,-75.735475 45.495914,-75.735362 45.495961,-75.734644 45.496229,-75.734321 45.49633)"
"81017","30","Sentier de randonnée","Non","Non","T.Q.C","Flexible","CCN","0","8.1","{25F48B11-01F8-46B1-858D-39E8335D6DD1}","LINESTRING (-75.707984 45.448358,-75.707947 45.448353,-75.707883 45.448363)"
"81017","31","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","52.3","{55761EC7-8AE1-4DCE-813D-8E464DECAC97}","LINESTRING (-75.772568 45.461937,-75.77323 45.462008)"
"81017","32","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","18.7","{E2AFD674-01FD-4DD9-9EE0-D1F09E6BC695}","LINESTRING (-75.718221 45.44905,-75.7183 45.449094,-75.718346 45.449132,-75.718382 45.449173)"
"81017","33","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","247.0","{481CDD94-0900-4EC1-BB72-4C36A43CDEED}","LINESTRING (-75.707732 45.43223,-75.707819 45.432318,-75.707886 45.432362,-75.708014 45.432365,-75.708133 45.432374,-75.708249 45.432384,-75.708351 45.432413,-75.708452 45.432455,-75.708528 45.432506,-75.708604 45.432577,-75.708677 45.432661,-75.708736 45.432769,-75.708758 45.432856,-75.708766 45.432953,-75.708744 45.433025,-75.708685 45.433088,-75.708582 45.433145,-75.708461 45.43319,-75.708362 45.433237,-75.708271 45.433313,-75.708177 45.433389,-75.708096 45.43348,-75.708032 45.433572,-75.708004 45.433609,-75.707965 45.433689,-75.707951 45.433732,-75.707953 45.433801)"
"81017","34","Sentier polyvalent","Non","Non","T.Q.C","Flexible","CCN","0","15.2","{DC9F40EF-0858-4EB2-8932-7751D49D8507}","LINESTRING (-75.711267 45.44122,-75.711248 45.441189,-75.711236 45.441155,-75.711231 45.441121,-75.711233 45.441087)"
"81017","35","Piste multifonctionnelle","Non","Non","T.Q.C","Rigide","CCN","0","457.1","{19CB7EF1-5B6C-4E54-A26A-47F9C814E39A}","LINESTRING (-75.70844 45.431616,-75.708359 45.431588,-75.707922 45.431426,-75.707718 45.43135,-75.706589 45.430923,-75.705958 45.430692,-75.704303 45.43008,-75.703275 45.429693)"
"81017","36","Sentier polyvalent","Non","Non","T.Q.C","Flexible","Ville","3","1404.6","{98510434-ECF9-4254-8985-080FB9A32994}","LINESTRING (-75.716838 45.488447,-75.716984 45.488118,-75.717086 45.487906,-75.717236 45.488,-75.717914 45.488441,-75.718127 45.488583,-75.718206 45.488645,-75.718257 45.488691,-75.718293 45.488729,-75.718304 45.488752,-75.718308 45.488775,-75.718308 45.488805,-75.718315 45.488817,-75.718329 45.488827,-75.718548 45.488875,-75.718617 45.488906,-75.718665 45.488937,-75.718712 45.488977,-75.71877 45.489003,-75.718828 45.489017,-75.719067 45.489072,-75.719579 45.489195,-75.720218 45.48935,-75.721019 45.489524,-75.721888 45.489716,-75.722617 45.489899,-75.723231 45.490045,-75.723873 45.490194,-75.724558 45.490344,-75.724854 45.490414,-75.724981 45.490436,-75.725157 45.490455,-75.725275 45.490471,-75.72538 45.490494,-75.726446 45.49073,-75.727912 45.491056,-75.729312 45.491365,-75.730781 45.491692,-75.731992 45.491962,-75.732592 45.492093,-75.732695 45.492116,-75.732761 45.492151,-75.732791 45.492182,-75.732822 45.492216)"
